ts	imei	mwra	p.android.packageinstaller	p.android.chrome	p.android.gm	p.android.settings	p.android.documentsui	p.android.externalstorage	p.system	p.android.gms	p.android.vending	p.simulator	p.process.gapps	p.google	p.dogalize	p.katana	p.olauncher	p.android.defcontainer	p.browser.provider	p.inputmethod.latin	p.gms.persistent	p.notifier
2018-05-05 10:10:00	863033069630348131	1.00000	14.29758	12.28833	8.79040	11.96193	10.29941	8.59178	11.39418	57.58377	0.03331	59.50795	21.29978	59.61172	41.79676	75.51255	89.62651	31.39996	30.92954	26.53379	36.79277	29.62636
2018-05-05 10:11:00	8630330696303481610	0.00000	10.87194	6.24170	13.79296	11.71863	8.17746	12.52209	15.21986	36.06951	0.00042	35.63651	52.16800	42.01653	55.71794	47.41925	22.34132	49.36596	31.95957	71.15869	32.10557	80.55309
2018-05-05 10:12:00	8630330696303482485	1.00000	10.70433	13.68921	11.87633	7.24363	9.08363	12.70197	12.38878	62.25762	0.13431	41.12949	41.32792	53.98197	75.46984	84.87422	44.50418	60.12952	27.05503	35.45180	5.91636	47.35468
2018-05-05 10:13:00	359043379931766338	1.00000	11.86619	10.15282	5.38620	12.56401	6.93801	7.79190	5.22335	70.57773	0.00408	62.42936	23.98542	56.15768	47.45327	9.59285	86.64394	59.89343	21.65620	99.38802	62.91674	39.50519
2018-05-05 10:14:00	3590433799317661339	0.00000	8.18871	6.42340	15.23578	7.01606	11.90627	14.44021	14.04818	56.73668	0.00028	70.09357	54.57946	55.61082	60.36196	58.00715	96.76482	9.26068	7.92632	23.70905	89.25847	23.47355
2018-05-05 10:15:00	8630330696303481297	1.00000	10.94012	8.77018	13.19669	8.20003	9.62679	10.23173	15.04157	54.10669	0.00122	40.53303	48.07257	25.43109	26.40646	7.98266	77.11544	97.95268	31.89077	40.11582	22.56192	82.75689
2018-05-05 10:16:00	3590433799317661958	1.00000	13.36305	13.06502	16.35854	12.95164	10.38563	14.77485	12.29774	64.51791	0.07210	59.12632	47.68373	60.43827	32.96265	74.45278	99.01885	12.66284	62.62353	22.11113	51.24171	9.42886
2018-05-05 10:17:00	359043379931766619	0.00000	15.27781	5.62932	12.78224	10.36127	13.04758	11.70027	6.27617	64.49024	0.00029	58.55211	49.57551	48.55839	35.36025	44.02694	70.96041	3.98519	60.67278	64.03404	14.68908	31.04153
2018-05-05 10:18:00	8630330696303481842	1.00000	9.61513	13.79955	9.23194	11.63091	5.08106	8.44972	8.58863	43.91833	0.14976	49.28281	46.01343	56.52915	44.83932	52.38710	74.93007	39.49700	76.22503	84.66041	55.22308	79.38608
2018-05-05 10:19:00	8630330696303481958	1.00000	8.13781	13.41897	10.48053	14.13082	5.63367	6.51799	4.79947	51.90670	0.10241	50.86708	50.79040	73.61930	51.78449	59.50626	95.57546	11.52702	70.33923	9.74088	94.70739	51.66399
2018-05-05 10:20:00	3590433799317661362	1.00000	14.61018	17.03378	15.93166	11.77402	10.99038	16.70740	12.79689	34.17035	3.79847	57.55470	44.88030	53.28980	51.68310	73.46128	44.41194	0.90416	35.97838	43.46292	90.16555	64.33734
2018-05-05 10:21:00	863033069630348214	1.00000	12.58554	13.40972	12.31880	7.77323	9.56862	12.44942	11.90026	71.39183	0.10157	33.65153	58.67359	36.56195	53.55401	43.52066	80.94168	15.74530	63.29669	77.54441	87.18494	36.65687
2018-05-05 10:22:00	8630330696303481826	0.00000	10.90589	8.31855	13.52636	11.25521	10.21207	13.24810	15.06407	58.90294	0.00084	51.34239	37.65427	52.22746	48.93746	28.35182	88.79571	80.72669	44.53070	93.85014	13.72672	92.06447
2018-05-05 10:23:00	863033069630348214	0.00000	12.55912	8.26724	11.68604	6.16468	14.68135	12.65056	8.50860	63.70513	0.00105	65.54503	42.98730	17.88893	43.92993	99.50620	38.30822	30.96062	35.10178	64.83437	45.78399	4.96643
2018-05-05 10:24:00	863033069630348321	1.00000	13.60721	14.68453	14.20726	10.47668	9.58336	9.60742	10.52975	66.50631	0.36277	47.10959	49.60155	52.59527	35.94848	12.59969	54.33056	14.30871	69.41881	24.56970	26.16541	90.96593
2018-05-05 10:25:00	8630330696303482121	0.00000	5.46445	8.68362	9.25691	8.75515	13.89097	12.33206	11.26329	59.35868	0.00113	46.64716	42.76089	53.60967	60.85280	13.85501	18.95136	64.21450	0.10435	11.95441	74.88094	45.71531
2018-05-05 10:26:00	8630330696303482253	1.00000	11.93553	11.81659	6.80925	11.45264	7.26521	8.77317	7.96322	75.21833	0.02079	59.75880	43.26984	39.99641	32.49500	1.87179	31.75186	95.86488	54.57481	56.89923	24.10157	90.48175
2018-05-05 10:27:00	8630330696303481081	0.00000	11.11518	13.63377	9.30132	9.08378	7.09926	7.03141	6.32228	35.31676	0.12705	54.99810	28.90769	17.60158	59.62575	4.08838	54.56925	45.26021	40.72661	98.61204	22.89559	59.65623
2018-05-05 10:28:00	359043379931766650	0.00000	12.09310	9.82497	11.71799	6.33683	14.45511	13.05842	9.64826	49.91749	0.00296	49.42553	46.42065	59.57827	39.76701	78.39628	45.29923	61.73968	55.15227	1.03143	16.47079	32.00099
2018-05-05 10:29:00	3590433799317662345	1.00000	12.22787	13.67642	8.47555	13.08680	7.07117	7.68442	8.29459	60.97732	0.13245	65.60010	47.45535	39.02678	48.49034	70.82687	80.10487	98.09048	66.21362	90.38840	66.26787	7.19726
2018-05-05 10:30:00	359043379931766924	1.00000	12.33672	15.74713	11.68526	8.82515	7.44266	11.52620	9.34989	53.95827	1.04930	67.24506	47.90537	81.93920	52.06122	61.45559	24.55515	52.70161	38.14518	97.72176	33.59966	1.26838
2018-05-05 10:31:00	3590433799317662329	0.00000	9.33196	7.89531	13.77136	9.60574	12.04969	14.44033	13.79733	61.13564	0.00064	27.80509	40.81567	65.89699	74.26775	1.51321	52.28260	28.34417	95.58683	14.90178	78.43348	48.20322
2018-05-05 10:32:00	3590433799317661123	0.00000	9.10746	9.30023	9.90470	6.98374	11.69818	10.24534	8.82949	70.61671	0.00182	53.98223	43.44770	31.93212	48.83641	5.19564	31.48438	55.69238	13.26922	0.01547	57.42276	3.09981
2018-05-05 10:33:00	359043379931766619	1.00000	11.73904	9.89719	6.49952	10.27292	8.19827	8.74114	9.30311	53.75918	0.00329	57.27797	47.29112	58.88318	74.71852	82.01643	89.29123	8.47300	94.77030	99.44960	60.02060	71.45241
2018-05-05 10:34:00	863033069630348784	1.00000	13.82205	14.00993	12.66408	10.43293	7.36497	11.16549	11.80435	56.45272	0.18492	26.89855	52.14980	62.93624	62.64766	8.83236	23.29677	12.26956	29.25947	92.16154	55.44144	31.98035
2018-05-05 10:35:00	3590433799317661925	0.00000	14.31999	6.78936	11.83395	7.78875	11.56801	10.60612	7.27303	44.78021	0.00031	55.87145	46.96316	43.16320	35.42117	59.52191	98.22721	76.66312	96.80749	72.32749	32.17076	96.97170
2018-05-05 10:36:00	359043379931766130	0.00000	12.24870	10.90445	8.53884	10.25138	9.30953	10.19798	7.90618	34.40879	0.00847	38.08578	25.59111	66.57852	66.33622	53.21000	68.03335	9.57969	84.55745	74.52296	16.78184	89.28017
2018-05-05 10:37:00	8630330696303482402	1.00000	14.91194	15.93972	16.29221	10.82911	12.01287	14.65278	13.16760	60.29351	1.27202	65.00191	6.75585	60.81071	60.99064	14.41469	61.85583	52.55115	18.72865	80.07591	8.65770	88.22425
2018-05-05 10:38:00	8630330696303481131	0.00000	14.29819	12.08579	10.93118	10.18447	14.03339	11.98085	9.09687	52.72442	0.02732	62.37742	48.48533	37.88260	43.50790	95.52365	32.56920	12.25172	31.66273	7.63885	51.45727	82.72530
2018-05-05 10:39:00	3590433799317662220	0.00000	11.70168	11.31341	14.85834	12.94253	11.17570	18.14998	10.92857	56.36020	0.01262	62.27436	48.32175	31.73135	54.82810	12.59356	39.25229	74.61549	99.55143	66.39746	91.43778	48.55816
2018-05-05 10:40:00	8630330696303481586	1.00000	13.45894	11.00347	11.76616	9.43004	9.10531	17.07067	12.43027	51.33102	0.00946	64.11634	34.92648	54.18385	72.27498	88.60016	18.16445	97.84963	23.71695	81.61473	91.66432	75.57430
2018-05-05 10:41:00	3590433799317661883	0.00000	10.73964	13.92215	9.94096	11.83407	7.56257	4.87075	8.48192	53.63087	0.16937	53.06544	59.48449	10.16995	53.01992	6.05531	3.72033	84.19857	10.51842	35.04546	99.39788	72.36827
2018-05-05 10:42:00	8630330696303481867	1.00000	9.93065	14.11940	11.66103	9.37531	8.73768	10.64400	13.45967	54.35914	0.20633	45.90740	34.24741	34.90381	56.96196	1.78434	54.20518	82.29364	99.86077	74.70475	33.65345	86.38124
2018-05-05 10:43:00	8630330696303481016	0.00000	13.26349	10.11616	11.15852	10.32704	11.74752	12.63032	9.60432	56.83901	0.00398	60.22495	49.67001	37.46582	41.07895	31.25317	63.56496	38.17917	49.38694	80.63968	64.63114	2.32949
2018-05-05 10:44:00	3590433799317662360	0.00000	13.92863	7.93386	12.18988	7.97645	11.10689	13.60867	7.38442	45.67996	0.00067	62.18189	73.76702	53.85184	78.36916	98.69811	19.16303	57.17283	85.73182	55.34854	54.70888	98.19664
2018-05-05 10:45:00	3590433799317661305	1.00000	13.56729	14.85723	10.18817	7.58880	9.08096	7.97730	11.13591	78.34840	0.43100	30.56179	39.05045	65.56117	34.07577	85.23759	9.17917	70.78799	13.75847	93.82178	75.09250	68.51832
2018-05-05 10:46:00	863033069630348362	1.00000	9.49750	13.03101	11.41067	11.74956	9.11273	6.18875	5.45381	51.20164	0.06967	31.70085	66.00894	57.61676	73.79791	55.05269	2.52729	84.91610	49.64469	82.23578	23.74660	72.87824
2018-05-05 10:47:00	8630330696303482444	0.00000	8.17786	10.49558	10.44018	13.68827	8.61197	11.68853	13.37572	46.81219	0.00570	57.03594	66.13543	70.30195	43.99903	42.98303	21.00038	49.95387	57.52696	94.05706	89.12749	6.06689
2018-05-05 10:48:00	3590433799317661701	0.00000	7.89939	10.24204	10.93798	9.21476	15.43882	10.07522	9.57821	58.91576	0.00458	71.17026	24.26204	70.56576	69.65873	64.03968	89.45046	7.77303	82.27856	20.53756	25.88528	32.37064
2018-05-05 10:49:00	3590433799317662428	1.00000	11.11240	12.51569	9.76190	13.86448	6.89151	9.17241	7.92747	58.42745	0.04171	49.93524	41.36367	56.53233	66.82421	14.45674	46.31159	34.16321	99.41893	19.50246	80.30498	29.28382
2018-05-05 10:50:00	8630330696303482279	0.00000	6.56413	9.57047	11.12143	8.54922	12.87821	14.10438	12.36160	47.70471	0.00246	44.76146	14.72492	49.57522	49.07894	57.33204	81.62634	3.19580	96.69510	28.04591	87.13493	24.26924
2018-05-05 10:51:00	3590433799317661305	0.00000	12.13413	7.35875	10.86846	8.38061	10.98977	13.76347	7.54234	57.77501	0.00038	58.75163	77.63126	59.17311	59.76431	88.98883	27.10393	33.17697	1.49454	60.04155	5.52588	50.12657
2018-05-05 10:52:00	3590433799317661586	0.00000	14.74039	14.27267	18.36604	12.55466	13.47604	10.19506	10.39157	62.48273	0.24029	58.62290	34.00265	37.80378	57.57915	43.75159	39.61028	62.13241	16.22930	35.64550	66.30953	2.40122
2018-05-05 10:53:00	3590433799317662089	1.00000	12.19878	14.62844	13.36584	8.59149	9.72466	16.36920	11.46607	51.19426	0.34300	67.41325	40.43782	42.24746	66.78159	89.70261	49.38614	20.62083	11.80508	95.69016	25.94291	3.51297
2018-05-05 10:54:00	8630330696303482279	1.00000	11.17404	16.27289	9.84378	6.16851	8.42931	14.88985	11.33628	49.91361	1.77489	45.54887	58.28336	62.41588	43.14637	8.64325	76.16430	66.66638	38.40974	25.05774	17.83065	75.78304
2018-05-05 10:55:00	863033069630348388	1.00000	12.55585	7.84110	12.03341	8.71265	7.71906	10.43741	13.15987	46.39947	0.00055	34.96612	52.42196	27.88796	34.65418	66.40442	52.67172	26.87251	63.75356	81.28667	82.02105	99.63492
2018-05-05 10:56:00	863033069630348800	1.00000	17.84780	7.70593	8.37663	6.60676	10.37811	12.89574	5.12387	49.72982	0.00057	39.10964	54.66224	36.11783	57.38716	86.33152	90.10372	83.23328	77.41954	0.14251	17.84217	66.23643
2018-05-05 10:57:00	3590433799317661081	1.00000	11.16930	11.28104	9.91511	14.81113	7.20721	8.05495	7.73265	47.84831	0.01215	51.32840	46.49106	43.18898	52.64906	92.31056	86.01969	25.75717	56.46039	94.25341	38.15312	95.80469
2018-05-05 10:58:00	3590433799317661800	0.00000	17.33032	9.23346	11.32161	10.47216	12.71611	15.30654	6.13751	55.53280	0.00193	49.24639	26.52036	51.57109	39.68245	74.75282	90.34261	95.73172	28.76905	34.11748	46.98657	61.79550
2018-05-05 10:59:00	3590433799317661701	1.00000	9.92415	13.01427	8.43863	11.89864	7.19083	5.75950	7.14621	56.42653	0.06850	58.26729	52.84811	65.01917	65.19337	22.74186	40.20683	29.66264	27.08135	10.55153	76.84289	1.89003
2018-05-05 11:00:00	8630330696303481586	1.00000	11.14295	11.44175	12.88186	10.36148	10.26402	10.27880	13.12405	46.47362	0.01434	37.72072	47.22565	60.77747	69.59668	57.75319	24.21810	39.70961	50.97715	23.24982	79.82022	98.96501
2018-05-05 11:01:00	3590433799317661628	0.00000	8.73123	8.73151	10.97345	9.25233	12.13164	13.02057	11.75390	68.53953	0.00112	60.47524	42.69961	35.83751	59.58890	25.46047	39.56556	77.11611	13.98026	89.57820	94.75690	47.51153
2018-05-05 11:02:00	3590433799317662048	0.00000	14.55778	12.05899	10.33944	8.68323	10.84112	14.13237	9.05635	48.56338	0.02642	50.81818	38.10037	46.79950	63.37113	82.71987	15.47750	30.66231	46.57757	0.81700	72.85592	2.92952
2018-05-05 11:03:00	3590433799317661206	0.00000	15.06514	9.45435	11.80023	8.12614	14.00517	14.38839	7.88969	53.90962	0.00205	64.14398	43.01753	39.48638	35.73795	13.43756	48.66979	50.42601	31.48473	49.71475	45.61964	64.77747
2018-05-05 11:04:00	863033069630348131	0.00000	13.33346	8.84814	14.27353	9.89327	11.78947	13.57783	8.99382	54.46706	0.00130	63.88312	64.66610	63.61775	63.23074	3.08867	17.99024	26.70586	33.81394	37.69630	19.29913	87.22044
2018-05-05 11:05:00	863033069630348453	1.00000	11.85331	10.73711	12.49645	9.10661	8.28389	11.59953	13.09101	70.85340	0.00720	68.42059	26.45162	43.42314	55.88769	70.85488	9.22660	64.06275	91.92893	84.36814	35.14217	73.65670
2018-05-05 11:06:00	8630330696303482006	1.00000	14.01428	15.15751	12.27601	8.85800	6.46574	8.11601	8.76569	17.58120	0.58199	56.81512	26.77133	50.33279	83.99422	42.23300	52.29563	77.68829	7.22751	98.45680	46.15566	56.64198
2018-05-05 11:07:00	3590433799317662006	1.00000	11.26099	11.06873	13.45558	9.17908	6.34108	9.90847	13.51322	56.39218	0.00997	30.35235	34.96584	69.40691	62.33538	33.36045	62.88875	42.40923	81.00823	43.40767	84.24782	60.82214
2018-05-05 11:08:00	359043379931766056	1.00000	10.46255	9.39939	8.26646	7.08170	5.78198	10.95914	11.03973	54.18407	0.00208	68.05478	35.95639	43.66088	55.07020	20.28543	62.03126	7.25673	34.26739	68.58017	79.56331	88.47925
2018-05-05 11:09:00	863033069630348925	0.00000	8.02005	8.07800	15.56636	9.55533	14.35836	13.65633	9.40195	79.98472	0.00060	34.96662	47.64529	35.42333	61.62010	18.50056	58.49424	54.17458	64.28906	97.24659	15.50979	70.25197
2018-05-05 11:10:00	863033069630348834	1.00000	11.93036	15.14785	9.31125	7.96928	7.22315	12.09592	9.20035	73.20507	0.57636	31.85513	37.41977	51.47830	38.56083	8.71241	35.06592	29.46577	66.94362	14.31045	95.17657	12.88636
2018-05-05 11:11:00	3590433799317661339	0.00000	10.27685	13.50823	10.30370	11.41552	8.37856	8.55452	5.91480	50.86326	0.11201	61.32976	36.73260	32.33174	72.44307	89.89858	23.69069	60.90760	65.92383	14.98002	38.86742	80.68820
2018-05-05 11:12:00	359043379931766775	0.00000	11.79416	10.95067	11.81076	8.09712	13.52839	13.68872	10.25224	41.54866	0.00888	73.18506	48.98505	57.91087	29.81018	87.17326	88.51347	26.92175	30.78025	64.34879	84.93507	80.02047
2018-05-05 11:13:00	863033069630348008	0.00000	14.72396	10.95437	12.82698	9.45123	7.98531	9.01123	13.10013	53.60639	0.00911	66.24140	22.77803	49.75277	47.47813	52.35636	22.40562	57.94981	89.54612	40.68498	15.85020	61.13226
2018-05-05 11:14:00	8630330696303481248	1.00000	10.91139	13.25329	9.93748	7.82261	5.22503	9.16365	12.80007	66.56018	0.08690	55.44516	38.24216	53.66622	49.46780	27.19929	97.79050	38.84165	6.68770	20.01520	92.02711	20.78191
2018-05-05 11:15:00	863033069630348644	1.00000	11.27201	16.78242	11.13320	8.23561	8.30395	15.59216	12.19562	48.25956	2.95431	79.55272	45.09782	24.95818	57.02759	34.28294	76.72039	69.60914	48.02804	12.21611	5.64973	0.95190
2018-05-05 11:16:00	863033069630348842	0.00000	10.97232	8.91187	13.52891	11.27279	11.87583	14.28097	8.85704	59.59255	0.00131	82.42233	75.96747	39.09930	50.67109	89.37300	41.54232	98.44105	32.51800	90.89409	45.50316	21.02311
2018-05-05 11:17:00	359043379931766585	0.00000	9.79770	7.90031	14.42499	9.98809	15.92430	13.40642	11.81006	63.86569	0.00065	70.92533	40.35934	39.41261	52.70135	64.78654	7.93576	34.01136	42.33232	0.19385	17.79607	41.80069
2018-05-05 11:18:00	863033069630348131	0.00000	12.85055	7.21965	11.38020	9.50592	12.90267	9.51470	5.92851	52.57605	0.00041	53.43638	29.79687	31.46147	51.43468	86.47982	60.34365	18.92597	58.11055	13.09698	21.16520	67.42235
2018-05-05 11:19:00	8630330696303482493	1.00000	8.70474	14.46629	6.05747	11.68247	4.42636	6.12813	11.81882	64.93251	0.29157	47.12279	36.97068	25.80867	65.00695	4.17527	38.42476	8.45775	54.34642	72.82895	21.29494	38.05835
2018-05-05 11:20:00	3590433799317662329	0.00000	12.73613	9.37655	13.04244	7.44056	10.64930	14.52100	9.22972	44.92884	0.00193	68.86377	63.10014	42.10625	55.84346	84.03485	92.19055	73.14019	61.81638	28.95884	44.74262	99.68960
2018-05-05 11:21:00	3590433799317662352	0.00000	6.53457	9.97532	12.06986	8.31647	14.49113	12.28531	12.28701	78.77585	0.00349	42.55824	38.33011	44.22409	57.87197	61.32902	46.69127	94.19652	86.35521	43.49572	25.05815	5.18276
2018-05-05 11:22:00	863033069630348230	1.00000	11.10688	10.73694	9.25211	6.13442	8.20403	13.07781	13.59431	53.16609	0.00729	44.97872	42.03522	31.95720	27.36212	59.54809	76.51878	20.46472	42.77131	24.26179	25.88275	91.57289
2018-05-05 11:23:00	3590433799317662188	0.00000	6.40097	10.35333	11.30397	8.52920	11.97883	5.52046	10.77535	51.47700	0.00485	44.70250	42.83287	37.51290	45.21631	26.46718	98.60221	61.23418	74.68919	31.07609	57.58625	33.66655
2018-05-05 11:24:00	3590433799317662345	0.00000	15.88148	7.13353	10.77930	5.64135	15.39431	14.89789	7.16128	47.66185	0.00049	49.65238	44.95312	38.01359	25.78720	44.59281	74.93966	13.47274	78.32772	87.73170	54.94917	35.10999
2018-05-05 11:25:00	8630330696303481941	1.00000	11.25438	14.34572	9.83289	4.78932	9.93036	12.35349	13.72443	55.71260	0.25849	66.01262	62.46512	32.09017	64.80213	29.53073	71.01169	67.17100	88.51076	59.99220	64.39650	67.14641
2018-05-05 11:26:00	3590433799317661081	1.00000	11.74960	13.68654	8.97412	12.41082	7.52736	9.67938	11.47601	37.78185	0.13391	42.60677	63.46944	66.48794	40.20874	9.06295	4.51710	62.89857	77.80780	85.82349	88.59433	74.42034
2018-05-05 11:27:00	8630330696303481727	0.00000	9.34941	8.97866	12.55117	9.40337	10.21254	11.32479	14.81020	64.93796	0.00139	67.48269	40.74840	45.91653	44.88852	60.23043	8.76820	48.49556	92.48976	33.28224	34.46254	41.79967
2018-05-05 11:28:00	863033069630348016	0.00000	6.06120	6.75960	13.25767	7.27904	8.70058	17.34221	15.82922	47.36811	0.00017	29.69384	42.52107	56.78640	65.87520	63.48491	28.71620	15.81517	41.28328	56.86897	30.88878	69.42254
2018-05-05 11:29:00	359043379931766213	0.00000	9.91322	9.86801	12.61540	8.24115	14.70155	11.68559	11.04446	78.46909	0.00312	56.79720	63.89670	55.70081	60.99261	12.35868	96.02715	0.12760	85.81752	57.64625	91.02233	76.31845
2018-05-05 11:30:00	3590433799317661859	0.00000	8.27750	7.35463	12.24497	10.40809	11.27274	10.93225	5.74163	43.39608	0.00041	55.09090	29.62814	59.71677	34.55214	47.37467	64.58950	12.56766	94.39538	86.50624	13.82708	6.78126
2018-05-05 11:31:00	8630330696303481479	1.00000	8.96800	12.43848	10.37087	6.33335	7.97853	14.26339	10.25453	64.59970	0.03859	40.14726	43.29311	37.83493	57.88546	55.87895	37.58764	63.41154	85.58548	84.36683	37.25189	93.70310
2018-05-05 11:32:00	359043379931766064	1.00000	11.43862	17.43259	12.56333	10.19697	7.48994	13.36086	15.54158	52.94896	5.65968	70.55825	44.02646	25.05900	38.13738	82.08711	39.02576	56.85923	79.99552	89.37670	39.45305	74.72684
2018-05-05 11:33:00	8630330696303482055	0.00000	8.05674	7.08439	13.24106	9.36242	11.75515	13.39810	14.49970	33.05732	0.00033	45.24767	41.04614	40.98369	56.05594	93.13323	31.67202	33.39701	93.34641	7.49289	4.92063	86.35351
2018-05-05 11:34:00	8630330696303481354	1.00000	14.00210	13.81398	12.67598	9.71535	8.30794	11.74180	14.27490	60.93230	0.15202	41.21922	45.84699	53.35691	45.86519	1.30722	99.11440	89.33715	67.40886	61.13921	70.67741	80.34085
2018-05-05 11:35:00	8630330696303482006	1.00000	12.80409	12.03601	6.94968	10.46392	9.28724	12.79485	7.80320	70.73826	0.02576	59.98766	35.48676	36.33298	42.98601	92.29392	94.56885	63.52493	7.36803	67.45312	20.88419	21.29985
2018-05-05 11:36:00	3590433799317662014	0.00000	13.17143	9.83672	11.06653	7.17129	12.22612	11.36358	9.71702	47.28596	0.00302	48.83456	44.35790	55.34325	56.89179	95.95678	73.57256	18.05190	85.51023	41.30285	39.92216	73.41899
2018-05-05 11:37:00	863033069630348727	1.00000	11.81537	7.72965	12.56285	8.25062	6.87763	9.60408	11.47982	53.67631	0.00049	42.49312	56.76807	49.11042	37.98168	69.48294	90.85508	52.36452	77.11426	6.94405	25.64121	49.60610
2018-05-05 11:38:00	863033069630348677	1.00000	13.26869	13.48088	14.53226	9.93394	10.45122	9.96778	11.73751	46.40789	0.10900	46.58096	48.20293	73.53506	45.74453	59.56011	81.26926	0.57392	97.86496	85.27951	89.69735	93.14307
2018-05-05 11:39:00	3590433799317661677	1.00000	10.60273	14.49567	4.76626	11.13419	5.86867	8.28706	3.41790	58.50338	0.30029	45.54826	37.98043	49.93281	35.44047	63.51266	24.77780	62.76006	28.86975	77.56096	79.49119	89.85385
2018-05-05 11:40:00	3590433799317661388	1.00000	12.23232	8.39037	12.39740	6.93617	7.83620	11.33452	17.72234	69.20147	0.00102	63.14078	38.61501	37.55244	52.87745	2.58966	1.00417	36.48068	87.95710	43.92631	61.09629	20.13243
2018-05-05 11:41:00	8630330696303481719	0.00000	13.69688	13.68367	6.98042	11.96885	5.33618	11.60535	9.21251	66.69978	0.13344	38.84517	59.96499	46.49179	45.46639	15.68525	43.12400	15.08854	86.11227	74.83257	75.97133	93.35714
2018-05-05 11:42:00	863033069630348297	1.00000	12.29190	12.97360	14.66871	8.61241	10.48913	14.75596	14.79066	43.42307	0.06583	70.61107	41.28084	39.65464	40.84580	62.32689	17.70808	37.23464	24.40203	75.99033	47.59001	94.12845
2018-05-05 11:43:00	359043379931766304	1.00000	9.69381	10.26072	10.96845	7.16375	7.18959	12.11731	10.13914	38.47746	0.00454	36.19752	61.59588	26.85600	81.81130	45.85012	98.67904	56.71467	3.12450	21.71719	42.97680	5.62653
2018-05-05 11:44:00	8630330696303481578	0.00000	14.41788	12.86520	13.17055	11.01166	11.94636	5.80339	11.89158	41.06484	0.05893	76.41473	46.02601	48.54859	55.68316	98.73668	35.35381	18.11681	24.77724	35.54929	67.32455	75.89775
2018-05-05 11:45:00	3590433799317661784	0.00000	8.24274	7.97904	13.61098	10.33728	13.23164	13.77647	14.76024	42.22795	0.00072	43.07934	58.55397	34.94939	48.41588	4.49946	13.62530	70.29000	19.62771	35.08253	38.61682	42.49851
2018-05-05 11:46:00	3590433799317662303	1.00000	13.85393	11.45698	11.60442	9.22576	5.66918	10.96705	9.71643	44.95566	0.01451	57.01825	54.81571	33.52953	42.69897	18.72622	81.51270	61.87039	17.45992	15.74444	89.73907	37.17855
2018-05-05 11:47:00	359043379931766247	0.00000	11.93758	15.08845	11.66654	9.19954	9.70114	14.01567	11.38122	56.09617	0.54309	45.59330	53.71461	31.37791	54.23958	86.28236	91.06303	20.74933	70.71010	94.44083	50.81712	42.72613
